auction_date,security_id,maturity_date,settlement_date,years_to_maturity,maturity_bucket,amount_offered_min,amount_offered_max,bid_amount,amount_served,bid_to_cover,outstanding_notional,total_amount_issued,Vix_euro,auction_yield,weighted_average_price,benchmark_yield,auction_premium,auction_premium_bp,shock_outstanding,shock_mean_scaled,shock_zscore,shock_log_dev,shock_rolling,log_total_amount_issued,log_outstanding_notional,year,month,auction_type,maturity_year,class_bucket_raw
9/20/2007,FR0000188328,12/31/2012,9/25/2007,5.281314168,medium,3000,3500,6955,1515,4.59,0,1515,22.1601,4.19,1.0329,4.16276025,0.02723975,2.723974999,,0.514701062,-1.034557402,-0.550854225,,7.323170718,,2007,9,adju_MT,2012,Medium
3/6/2008,FR0010216481,12/31/2015,3/11/2008,7.819301848,medium,5000,5500,3035,2535,1.2,80,2615,30.6213,3.84,0.9453,3.986518702,-0.146518702,-14.65187019,32.6875,0.888411403,-0.237883909,-0.005005566,,7.869019376,4.382026635,2008,3,adju_LT,2015,Benchmark
4/30/2008,FR0010112052,12/31/2014,5/6/2008,6.669404517,medium,5000,5500,4600,1780,2.58,0,1780,20.8781,4.13,0.9927,3.945552758,0.184447242,18.44472422,,0.60473128,-0.842631515,-0.3896563,-0.096446701,7.484368643,,2008,4,adju_LT,2014,Medium
9/4/2008,FR0010163543,12/31/2015,9/9/2008,7.321013005,medium,5200,5700,2795,1195,2.34,138,1333,24.9709,4.21,0.9597,4.288427042,-0.078427042,-7.842704243,9.65942029,0.452868987,-1.166370652,-0.678837623,-0.26384095,7.19518732,4.927253685,2008,9,adju_LT,2015,Benchmark
9/18/2008,FR0000188989,12/31/2013,9/23/2008,5.284052019,medium,5000,5500,1340,690,1.94,0,690,37.5541,4.05,0.9979,3.915281441,0.134718559,13.47185595,,0.234418305,-1.632062521,-1.337333345,-0.565107778,6.536691598,,2008,9,adju_MT,2013,Medium
10/2/2008,FR0010112052,12/31/2014,10/7/2008,6.245037645,medium,5000,5500,2365,1030,2.3,153,1183,42.9811,4.16,0.9913,3.83996561,0.32003439,32.003439,7.732026144,0.401908486,-1.275007947,-0.798216079,-0.221369022,7.075808864,5.030437921,2008,10,adju_LT,2014,Medium
11/6/2008,FR0010061242,12/31/2014,11/12/2008,6.149212868,medium,4500,6000,2900,1215,2.39,0,1215,60.7084,3.52,1.0233,3.439825442,0.080174558,8.017455828,,0.412780059,-1.251831991,-0.771525587,-0.176749589,7.102499356,,2008,11,adju_LT,2014,Medium
11/20/2008,FR0010011130,12/31/2013,11/25/2008,5.11156742,medium,5000,6000,3443,1343,2.56,35,1378,72.8475,3.05,1.0428,3.098489307,-0.048489307,-4.848930738,39.37142857,0.468157137,-1.133779464,-0.645636491,-0.058502007,7.228388452,3.555348061,2008,11,adju_MT,2013,Medium
3/5/2009,FR0010216481,12/31/2015,3/10/2009,6.822724162,medium,6000,7000,4570,2710,1.69,0,2710,47.161,3.06,0.9966,2.677100801,0.382899199,38.28991989,,0.920686387,-0.16908029,0.030678971,0.691518136,7.904703914,,2009,3,adju_LT,2015,Medium
4/2/2009,FR0010112052,12/31/2014,4/7/2009,5.746748802,medium,6500,8000,4515,1585,2.85,0,1585,42.0951,2.78,1.0616,2.755843541,0.024156459,2.415645851,,0.538482629,-0.983859998,-0.505685257,-0.009622594,7.368339686,,2009,4,adju_LT,2014,Medium
5/7/2009,FR0010517417,12/31/2017,5/12/2009,8.651608487,medium,6500,8000,3330,1750,1.9,0,1750,38.0156,3.5,1.0541,3.788157694,-0.288157694,-28.8157694,,0.59453918,-0.864358974,-0.406653876,0.084262701,7.467371067,,2009,5,adju_LT,2017,Benchmark
6/4/2009,FR0010216481,12/31/2015,6/9/2009,6.57357974,medium,6000,7000,4065,2265,1.79,0,2265,31.5158,3.26,0.9851,2.97556591,0.28443409,28.44340902,,0.769503567,-0.49137093,-0.148694905,0.357710175,7.725330038,,2009,6,adju_LT,2015,Medium
7/2/2009,FR0010288357,12/31/2016,7/7/2009,7.498973306,medium,6000,7000,3340,1315,2.54,204,1519,31.7683,3.17,1.0047,3.779360372,-0.609360372,-60.9360372,7.446078431,0.516060008,-1.031660407,-0.54821744,-0.089646906,7.325807503,5.318119994,2009,7,adju_LT,2016,Benchmark
9/3/2009,FR0010216481,12/31/2015,9/8/2009,6.324435318,medium,6500,7500,4890,2265,2.16,0,2265,30.3085,2.84,1.0089,2.633361954,0.206638046,20.66380455,,0.769503567,-0.49137093,-0.148694905,0.38158898,7.725330038,,2009,9,adju_LT,2015,Medium
10/1/2009,FR0000187361,12/31/2016,10/6/2009,7.249828884,medium,7000,8000,3695,1710,2.16,38,1748,29.224,3.07,1.1209,3.539884776,-0.469884776,-46.98847761,46,0.593859707,-0.865807471,-0.407797387,0.067970063,7.466227556,3.63758616,2009,10,adju_LT,2016,Benchmark
10/15/2009,FR0010061242,12/31/2014,10/20/2009,5.210130048,medium,6500,8000,3785,1080,3.5,0,1080,24.7769,2.54,1.0616,2.639819902,-0.099819902,-9.981990185,,0.366915608,-1.349605556,-0.889308623,-0.331545286,6.98471632,,2009,10,adju_MT,2014,Medium
11/5/2009,FR0010288357,12/31/2016,11/10/2009,7.154004107,medium,6500,8000,3620,2145,1.69,98,2243,28.267,2.97,1.0163,3.616990821,-0.646990821,-64.69908207,22.8877551,0.76202936,-0.5073044,-0.158455408,0.285325438,7.715569535,4.584967479,2009,11,adju_LT,2016,Benchmark
